model,dataset,parameters,accuracy,precision/black_bishop,precision/black_king,precision/black_knight,precision/black_pawn,precision/black_queen,precision/black_rook,precision/white_bishop,precision/white_king,precision/white_knight,precision/white_pawn,precision/white_queen,precision/white_rook,recall/black_bishop,recall/black_king,recall/black_knight,recall/black_pawn,recall/black_queen,recall/black_rook,recall/white_bishop,recall/white_king,recall/white_knight,recall/white_pawn,recall/white_queen,recall/white_rook,f1_score/black_bishop,f1_score/black_king,f1_score/black_knight,f1_score/black_pawn,f1_score/black_queen,f1_score/black_rook,f1_score/white_bishop,f1_score/white_king,f1_score/white_knight,f1_score/white_pawn,f1_score/white_queen,f1_score/white_rook,confusion_matrix/0/0,confusion_matrix/0/1,confusion_matrix/0/2,confusion_matrix/0/3,confusion_matrix/0/4,confusion_matrix/0/5,confusion_matrix/0/6,confusion_matrix/0/7,confusion_matrix/0/8,confusion_matrix/0/9,confusion_matrix/0/10,confusion_matrix/0/11,confusion_matrix/1/0,confusion_matrix/1/1,confusion_matrix/1/2,confusion_matrix/1/3,confusion_matrix/1/4,confusion_matrix/1/5,confusion_matrix/1/6,confusion_matrix/1/7,confusion_matrix/1/8,confusion_matrix/1/9,confusion_matrix/1/10,confusion_matrix/1/11,confusion_matrix/2/0,confusion_matrix/2/1,confusion_matrix/2/2,confusion_matrix/2/3,confusion_matrix/2/4,confusion_matrix/2/5,confusion_matrix/2/6,confusion_matrix/2/7,confusion_matrix/2/8,confusion_matrix/2/9,confusion_matrix/2/10,confusion_matrix/2/11,confusion_matrix/3/0,confusion_matrix/3/1,confusion_matrix/3/2,confusion_matrix/3/3,confusion_matrix/3/4,confusion_matrix/3/5,confusion_matrix/3/6,confusion_matrix/3/7,confusion_matrix/3/8,confusion_matrix/3/9,confusion_matrix/3/10,confusion_matrix/3/11,confusion_matrix/4/0,confusion_matrix/4/1,confusion_matrix/4/2,confusion_matrix/4/3,confusion_matrix/4/4,confusion_matrix/4/5,confusion_matrix/4/6,confusion_matrix/4/7,confusion_matrix/4/8,confusion_matrix/4/9,confusion_matrix/4/10,confusion_matrix/4/11,confusion_matrix/5/0,confusion_matrix/5/1,confusion_matrix/5/2,confusion_matrix/5/3,confusion_matrix/5/4,confusion_matrix/5/5,confusion_matrix/5/6,confusion_matrix/5/7,confusion_matrix/5/8,confusion_matrix/5/9,confusion_matrix/5/10,confusion_matrix/5/11,confusion_matrix/6/0,confusion_matrix/6/1,confusion_matrix/6/2,confusion_matrix/6/3,confusion_matrix/6/4,confusion_matrix/6/5,confusion_matrix/6/6,confusion_matrix/6/7,confusion_matrix/6/8,confusion_matrix/6/9,confusion_matrix/6/10,confusion_matrix/6/11,confusion_matrix/7/0,confusion_matrix/7/1,confusion_matrix/7/2,confusion_matrix/7/3,confusion_matrix/7/4,confusion_matrix/7/5,confusion_matrix/7/6,confusion_matrix/7/7,confusion_matrix/7/8,confusion_matrix/7/9,confusion_matrix/7/10,confusion_matrix/7/11,confusion_matrix/8/0,confusion_matrix/8/1,confusion_matrix/8/2,confusion_matrix/8/3,confusion_matrix/8/4,confusion_matrix/8/5,confusion_matrix/8/6,confusion_matrix/8/7,confusion_matrix/8/8,confusion_matrix/8/9,confusion_matrix/8/10,confusion_matrix/8/11,confusion_matrix/9/0,confusion_matrix/9/1,confusion_matrix/9/2,confusion_matrix/9/3,confusion_matrix/9/4,confusion_matrix/9/5,confusion_matrix/9/6,confusion_matrix/9/7,confusion_matrix/9/8,confusion_matrix/9/9,confusion_matrix/9/10,confusion_matrix/9/11,confusion_matrix/10/0,confusion_matrix/10/1,confusion_matrix/10/2,confusion_matrix/10/3,confusion_matrix/10/4,confusion_matrix/10/5,confusion_matrix/10/6,confusion_matrix/10/7,confusion_matrix/10/8,confusion_matrix/10/9,confusion_matrix/10/10,confusion_matrix/10/11,confusion_matrix/11/0,confusion_matrix/11/1,confusion_matrix/11/2,confusion_matrix/11/3,confusion_matrix/11/4,confusion_matrix/11/5,confusion_matrix/11/6,confusion_matrix/11/7,confusion_matrix/11/8,confusion_matrix/11/9,confusion_matrix/11/10,confusion_matrix/11/11
ResNet_lightweight,test,11182668,0.976491862567812,0.9230769230769231,0.95,1.0,0.9618320610687023,1.0,1.0,0.975609756097561,0.875,1.0,1.0,1.0,1.0,1.0,0.8636363636363636,0.9761904761904762,1.0,0.9444444444444444,0.925,0.975609756097561,1.0,1.0,0.9910714285714286,0.8421052631578947,1.0,0.9600000000000001,0.9047619047619048,0.9879518072289156,0.9805447470817121,0.9714285714285714,0.961038961038961,0.975609756097561,0.9333333333333333,1.0,0.9955156950672646,0.9142857142857143,1.0,36,3,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,1,126,0,3,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,3,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,38
ResNet_uniform,test,11182668,0.9819168173598554,1.0,1.0,1.0,0.9921259842519685,0.9,0.975609756097561,1.0,0.9090909090909091,0.9047619047619048,1.0,1.0,1.0,1.0,0.8636363636363636,1.0,1.0,1.0,1.0,0.975609756097561,0.9523809523809523,1.0,0.9732142857142857,0.8947368421052632,1.0,1.0,0.9268292682926829,1.0,0.9960474308300395,0.9473684210526316,0.9876543209876543,0.9876543209876543,0.9302325581395349,0.9500000000000001,0.9864253393665159,0.9444444444444444,1.0,36,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,1,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,0,0,0,0,0,0,0,0,1,38,3,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,38
